نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
مجتبی,رضاخواه,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,949,138,2046,64,36,1306,944,224,25,113,دبیر دوم کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,نایب رئیس دوم کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : عضو هیات علمی دانشگاه تربیت مدرس میزان تحصیلات : فوق دکترای مدیریت بهینه سازی
یعقوب,رضازاده,آذربایجان غربی,سلماس,آقا,946,139,2046,66,34,1359,900,85,17,357,دبیر اول کمیسیون امنیت ملی و سیاست خارجی,دبیر دوم کمیسیون امنیت ملی و سیاست خارجی,دبیر دوم کمیسیون امنیت ملی و سیاست خارجی,دبیر اول کمیسیون امنیت ملی و سیاست خارجی,سوابق و فعالیت ها: -بازنشسته ناجا و مدرس دانشگاه تحصیلات: - دکترای تخصصی جغرافیا
رضا,حاجی‌پور,مازندران,آمل,آقا,946,139,1888,76,24,1441,954,153,11,323,عضو کمیسیون آموزش و تحقیقات,سخنگو کمیسیون آموزش و تحقیقات,سخنگو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : شهردار منطقه 22 تهران میزان تحصیلات : دکترای مدیریت و برنامه ریزی شهری
حسین,محمدصالحی‌دارانی,اصفهان,فریدن / فریدونشهر,آقا,942,141,2046,75,25,1534,868,208,36,422,رئیس کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : رئیس دانشگاه آزاد میزان تحصیلات : دکترای ادبیات فارسی
موسی,غضنفرآبادی,کرمان,بم,آقا,942,141,1826,79,21,1444,831,277,9,327,رئیس کمیسیون قضایی و حقوقی - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,رئیس کمیسیون قضایی و حقوقی,رئیس کمیسیون قضایی و حقوقی - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - قاضی تحصیلات: - خارج فقه و اصول (علوم حوزه) - فوق لیسانس حقوق جزا
عبدالجلال,ایری,گلستان,بندر ترکمن / بندر گز / کردکوی,آقا,933,143,1869,79,21,1480,858,206,19,397,,سخنگو کمیسیون عمران,سخنگو کمیسیون عمران,سخنگو کمیسیون عمران,
غلامرضا,شریعتی‌اندراتی,مازندران,بهشهر,آقا,933,143,1869,61,39,1143,840,185,10,108,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق اجرایی : فرمانده سپاه و رئیس بسیج میزان تحصیلات : فوق لیسانس
ابوالفضل,عموئی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,932,145,2046,68,32,1392,869,260,15,248,سخنگو کمیسیون امنیت ملی و سیاست خارجی - دبیر اول کمیسیون تدوین آیین‌نامه داخلی مجلس,دبیر دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون امنیت ملی و سیاست خارجی,سخنگو کمیسیون امنیت ملی و سیاست خارجی - دبیر دوم کمیسیون تدوین آیین‌نامه داخلی مجلس,سخنگو کمیسیون امنیت ملی و سیاست خارجی - دبیر اول کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق اجرایی : کارشناس سیاسی وزارت امور خارجه میزان تحصیلات : دکترای علوم سیاسی
جعفر,راستی,آذربایجان شرقی,شبستر,آقا,929,146,1888,83,17,1567,750,104,197,516,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق و فعالیت ها: -سپاه پاسداران تحصیلات: - کارشناسی ارشد مدیریت دولتی
سمیه,رفیعی,تهران,اسلامشهر / تهران / ری / شمیرانات,خانم,921,147,1878,71,29,1327,919,208,5,195,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : معاونت پیگیری های ویژه دفتر رئیس جمهور میزان تحصیلات : کارشناسی ارشد مدیریت
محمد,سرگزی,سیستان و بلوچستان,زابل / زهک,آقا,919,148,2046,61,39,1242,931,156,16,139,عضو کمیسیون عمران - عضو کمیسیون تلفیق,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق اجرایی : دادستان زابل میزان تحصیلات : دکترای حقوق جزا
فاطمه,محمدبیگی,قزوین,قزوین,خانم,918,149,2046,66,34,1349,988,148,23,190,دبیر اول کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : دکترای پزشکی میزان تحصیلات : پزشک عمومی
صمدالله,محمدی,کرمان,بافت,آقا,912,150,1782,67,33,1198,805,206,34,153,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : بخشدار ارزوئیه میزان تحصیلات : کارشناسی ارشد فقه و الهیات
محمدمهدی,زاهدی,کرمان,راور / کرمان,آقا,910,151,1746,65,35,1138,794,178,4,162,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها : - استاد دانشگاه - سفیر جمهوری اسلامی ایران در مالزی - وزیر علوم، تحقیقات و فناوری - عضو و رئیس شورای شهر تحصیلات : - دکتری ریاضی
